"Y(), created by Plot Digitizer, 2.6.8"
"Date: 12/02/20, 23:59:46"


28
,Y
-0.0113037,-0.438276,
0.983421,99.6348,
12.6375,99.6348,
12.7619,-341.563,
12.8071,-443.828,
12.9314,-423.375,
13.0445,-407.305,
13.1462,-392.695,
13.2592,-376.625,
13.3836,-359.825,
13.5644,-336.450,
13.7679,-318.188,
13.9261,-299.927,
14.1070,-286.048,
14.2992,-268.517,
14.4687,-254.638,
14.7061,-238.568,
14.8870,-226.150,
15.1017,-211.541,
15.3391,-198.393,
15.6104,-181.592,
15.8930,-168.444,
16.1417,-158.218,
16.4808,-146.530,
16.7747,-135.573,
17.0799,-124.617,
17.3286,-116.581,
17.6338,-107.085,
